ID	Pe	Time	Y
55	55	3	26.1422384
56	56	3	19.3809051
57	57	3	26.0775718
58	58	3	22.4149051
59	59	3	19.3635718
60	60	3	21.2919051
61	61	3	16.4752384
62	62	3	19.0222384
63	63	3	19.1274051
64	64	3	26.8852384
65	65	3	28.2732384
66	66	3	25.5412384
67	67	3	15.9164051
68	68	3	14.5432384
69	69	3	26.4009051
70	70	3	25.7799051
71	71	3	20.6629051
72	72	3	17.7115718
73	73	3	22.3115718
74	74	3	32.7125718
75	75	3	23.0287384
76	76	3	17.3879051
77	77	3	25.6955718
78	78	3	15.8740718
79	79	3	18.3492384
80	80	3	18.1532384
81	81	3	27.5692384
82	82	3	17.0829051
83	83	3	26.2859051
84	84	3	19.4965718
85	85	3	17.3232384
86	86	3	18.6697384
87	87	3	22.4602384
88	88	3	17.7365718
89	89	3	15.5575718
1	1	4	32.5261688
2	2	4	22.7018355
3	3	4	19.6795021
4	4	4	19.7538355
5	5	4	19.1311688
6	6	4	27.0261688
7	7	4	20.7658355
8	8	4	23.1595021
9	9	4	29.2053355
10	10	4	22.6808355
11	11	4	23.6861688
12	12	4	30.6025021
13	13	4	22.7128355
14	14	4	30.4248355
15	15	4	18.9261688
16	16	4	20.9995021
17	17	4	35.2661688
18	18	4	17.5091688
19	19	4	19.1308355
20	20	4	26.5185021
21	21	4	34.2025021
22	22	4	31.0096688
23	23	4	31.7978355
24	24	4	28.2350021
25	25	4	30.8060021
26	26	4	25.2095021
27	27	4	21.3481688
28	28	4	19.4056688
29	29	4	33.1570021
30	30	4	36.1408355
31	31	4	19.6465021
32	32	4	22.2365021
33	33	4	36.7421688
34	34	4	22.6181688
35	35	4	24.3688355
36	36	4	27.3761688
37	37	4	24.1708355
38	38	4	32.6188355
39	39	4	17.6695021
40	40	4	25.1195021
41	41	4	26.8821688
42	42	4	32.0348355
43	43	4	34.2131688
44	44	4	26.2506688
45	45	4	31.1425021
46	46	4	25.3761688
47	47	4	27.6138355
48	48	4	33.9298355
49	49	4	27.2401688
50	50	4	24.4858355
51	51	4	25.8441688
52	52	4	31.8755021
53	53	4	32.5518355
54	54	4	28.8488355
55	55	4	32.0098355
56	56	4	25.1021688
57	57	4	30.8898355
58	58	4	26.7185021
59	59	4	23.9461688
60	60	4	27.4888355
61	61	4	22.3481688
62	62	4	24.4838355
63	63	4	24.9550021
64	64	4	32.5891688
65	65	4	35.4535021
66	66	4	32.1771688
67	67	4	19.2258355
68	68	4	18.4878355
69	69	4	32.2795021
70	70	4	33.1955021
71	71	4	24.8021688
72	72	4	22.8885021
73	73	4	26.2918355
74	74	4	39.5545021
75	75	4	29.8248355
76	76	4	22.4181688
77	77	4	32.0155021
78	78	4	20.3765021
79	79	4	22.8396688
80	80	4	23.6388355
81	81	4	28.4705021
82	82	4	22.3528355
83	83	4	33.0948355
84	84	4	24.7251688
85	85	4	21.0285021
86	86	4	23.0273355
87	87	4	26.1335021
88	88	4	21.5010021
89	89	4	20.4468355
1	1	5	44.1711268
2	2	5	28.3604602
3	3	5	25.6764602
4	4	5	25.9137935
5	5	5	24.3297935
6	6	5	33.0894602
7	7	5	24.3591268
8	8	5	28.1609602
9	9	5	36.9667935
10	10	5	29.5271268
11	11	5	29.1057935
12	12	5	38.0139602
13	13	5	27.4324602
14	14	5	38.1791268
15	15	5	23.2934602
16	16	5	28.2721268
17	17	5	44.8774602
18	18	5	23.0567935
19	19	5	23.1797935
20	20	5	32.0907935
21	21	5	40.5564602
22	22	5	39.2594602
23	23	5	39.1697935
24	24	5	35.1174602
25	25	5	37.8257935
26	26	5	32.8937935
27	27	5	26.5727935
28	28	5	24.3716268
29	29	5	42.8447935
30	30	5	44.9821268
31	31	5	23.6221268
32	32	5	28.5391268
33	33	5	46.5727935
34	34	5	28.3877935
35	35	5	28.9324602
36	36	5	37.2674602
37	37	5	28.8881268
38	38	5	39.7484602
39	39	5	23.6511268
40	40	5	31.7751268
41	41	5	32.2279602
42	42	5	38.7224602
43	43	5	42.9474602
44	44	5	34.3712935
45	45	5	38.0274602
46	46	5	33.2947935
47	47	5	31.4227935
48	48	5	43.8481268
49	49	5	34.8727935
50	50	5	31.4661268
51	51	5	30.8867935
52	52	5	38.4744602
53	53	5	39.1487935
54	54	5	36.3032935
55	55	5	41.6164602
56	56	5	30.2061268
57	57	5	27.1907935
58	58	5	34.6971268
59	59	5	29.7754602
60	60	5	34.2824602
61	61	5	27.9187935
62	62	5	31.0864602
63	63	5	29.8456268
64	64	5	42.7917935
65	65	5	44.6917935
66	66	5	40.7511268
67	67	5	24.0096268
68	68	5	24.0331268
69	69	5	41.7607935
70	70	5	41.4337935
71	71	5	31.0307935
72	72	5	29.5994602
73	73	5	33.7667935
74	74	5	49.9427935
75	75	5	37.5821268
76	76	5	29.4941268
77	77	5	41.7327935
78	78	5	25.0904602
79	79	5	27.6337935
80	80	5	29.7147935
81	81	5	41.2717935
82	82	5	29.0634602
83	83	5	40.5594602
84	84	5	32.7257935
85	85	5	26.1241268
86	86	5	29.5961268
87	87	5	35.7504602
88	88	5	26.7411268
89	89	5	26.3691268
1	1	6	52.2941235
2	2	6	33.8674568
3	3	6	32.5104568
4	4	6	31.3697902
5	5	6	30.1011235
6	6	6	41.0631235
7	7	6	30.3554568
8	8	6	37.1711235
9	9	6	46.1442902
10	10	6	37.5121235
11	11	6	38.2394568
12	12	6	48.2771235
13	13	6	36.3051235
14	14	6	47.9797902
15	15	6	29.7686235
16	16	6	38.3697902
17	17	6	55.1194568
18	18	6	28.2617902
19	19	6	28.8001235
20	20	6	41.2134568
21	21	6	51.0317902
22	22	6	47.5449568
23	23	6	47.1454568
24	24	6	44.7331235
25	25	6	46.7082902
26	26	6	41.9277902
27	27	6	34.7002902
28	28	6	31.2096235
29	29	6	52.7514568
30	30	6	57.2807902
31	31	6	28.8481235
32	32	6	34.4401235
33	33	6	57.6611235
34	34	6	36.4921235
35	35	6	35.9694568
36	36	6	44.9792902
37	37	6	36.9554568
38	38	6	48.0094568
39	39	6	27.9177902
40	40	6	40.6936235
41	41	6	41.2402902
42	42	6	47.1961235
43	43	6	53.9671235
44	44	6	41.0797902
45	45	6	48.2157902
46	46	6	39.9021235
47	47	6	39.5334568
48	48	6	54.0226235
49	49	6	42.3934568
50	50	6	41.2867902
51	51	6	38.4674568
52	52	6	50.0381235
53	53	6	48.4114568
54	54	6	44.3054568
55	55	6	55.0827902
56	56	6	36.3997902
57	57	6	33.1584568
58	58	6	44.0481235
59	59	6	36.5101235
60	60	6	41.5641235
61	61	6	33.5767902
62	62	6	37.7684568
63	63	6	38.4967902
